country,cases,deaths,recovered,active,critical,population,casesPerOneMillion,deathsPerOneMillion,taux_mortalite,taux_guerison
UK,24910387,232112,24678275,0,0,68497907,363666,3389,0.9317880127675254,99.06821198723247
USA,111820082,1219487,109814428,786167,940,334805269,333985,3642,1.090579597321347,98.20635617133601
Uganda,172149,3632,100431,68086,0,48432863,3554,75,2.1098002311950697,58.33957792377533
Ukraine,5557995,112418,5445577,0,0,43192122,128681,2603,2.0226358605936134,97.97736413940639
Uruguay,1041111,7664,1030944,2503,18,3496016,297799,2192,0.7361366847531147,99.02344706760374
Uzbekistan,253662,1637,241486,10539,23,34382084,7378,48,0.6453469577626921,95.19991169351341
Vanuatu,12019,14,11976,29,0,321832,37346,44,0.11648223645894001,99.64223313087611
Venezuela,552695,5856,546537,302,31,29266991,18885,200,1.0595355485394296,98.88582310315816
Vietnam,11625195,43206,10640971,941018,0,98953541,117481,437,0.37165828186107847,91.53369900461885
Wallis and Futuna,3550,8,438,3104,0,10982,323256,728,0.22535211267605634,12.338028169014084
Western Sahara,10,1,9,0,0,626161,16,2,10.0,90.0
Yemen,11945,2159,9124,662,0,31154867,383,69,18.07450816241105,76.38342402678944
Zambia,349304,4069,341316,3919,0,19470234,17940,209,1.1648878913496552,97.7131667544603
Zimbabwe,266359,5740,258888,1731,12,15331428,17373,374,2.1549863154614637,97.19513889149607
